id,pop,sample_id,sp,lat,long
ID01,sharjah,RRY165,Rhina_ancylostoma,25.386258,55.384525
ID02,abudhabi,RRY2040,Rhina_ancylostoma,24.523914,54.329021
ID03,abudhabi,RRY2548,Rhina_ancylostoma,24.523914,54.329021
ID04,sharjah,RRY2980,Rhina_ancylostoma,25.386258,55.384525
ID05,abudhabi,RRY3190,Rhina_ancylostoma,24.523914,54.329021
ID06,sharjah,RRY3572,Rhina_ancylostoma,25.386258,55.384525
ID07,sharjah,RRY3789,Rhina_ancylostoma,25.386258,55.384525
ID08,sharjah,RRY3900,Rhina_ancylostoma,25.386258,55.384525
ID09,sharjah,RRY4026,Rhina_ancylostoma,25.386258,55.384525
ID10,rak,RRY4293,Rhina_ancylostoma,25.815084,55.941793
ID11,sharjah,RRY4884,Rhina_ancylostoma,25.386258,55.384525
ID12,rak,RRY5219,Rhina_ancylostoma,25.815084,55.941793
ID13,sharjah,RRY6193,Rhina_ancylostoma,25.386258,55.384525
ID14,abudhabi,RRY6209,Rhina_ancylostoma,24.523914,54.329021
ID15,abudhabi,RRY6249,Rhina_ancylostoma,24.523914,54.329021
ID16,sharjah,RRY6289,Rhina_ancylostoma,25.386258,55.384525
ID17,sharjah,RRY6308,Rhina_ancylostoma,25.386258,55.384525
ID18,abudhabi,RRY6429,Rhina_ancylostoma,24.523914,54.329021
ID19,abudhabi,RRY6450,Rhina_ancylostoma,24.523914,54.329021
ID20,oman_salalah,RRY6531,Rhina_ancylostoma,16.987989,54.125606
ID21,saudiarabia_alqunfudha,3000,Rhina_ancylostoma,19.124649,41.067495
ID22,srilanka,G173,Rhina_ancylostoma,7.181234,79.766262
ID23,srilanka,B210,Rhina_ancylostoma,7.181234,79.766262
ID24,srilanka,B330,Rhina_ancylostoma,7.181234,79.766262
ID25,srilanka,G725,Rhina_ancylostoma,7.181234,79.766262
ID26,oman_salalah,RRY223,Rhina_ancylostoma,16.987989,54.125606
ID27,sharjah,RRY6194,Rhina_ancylostoma,25.386258,55.384525
ID28,saudiarabia_jeddah,404,Rhina_ancylostoma,21.479194,39.132815
ID29,srilanka,G470,Rhina_ancylostoma,7.181234,79.766262
ID30,bangladesh,Rhina01,Rhina_ancylostoma,21.807731,90.710827
ID31,bangladesh,Rhina02,Rhina_ancylostoma,21.807731,90.710827
ID32,bangladesh,Rhina03,Rhina_ancylostoma,21.807731,90.710827
ID33,oman_salalah,RRY164,Rhina_ancylostoma,16.987989,54.125606
ID34,oman_salalah,RRY222,Rhina_ancylostoma,16.987989,54.125606
ID35,oman_salalah,RRY225,Rhina_ancylostoma,16.987989,54.125606
ID36,oman_sohar,RRY859,Rhina_ancylostoma,24.386621,56.757616
ID37,oman_salalah,RRY1831,Rhina_ancylostoma,16.987989,54.125606
ID38,abudhabi,RRY2039,Rhina_ancylostoma,24.523914,54.329021
ID39,sharjah,RRY2182,Rhina_ancylostoma,25.386258,55.384525
ID40,abudhabi,RRY3160,Rhina_ancylostoma,24.523914,54.329021
ID41,abudhabi,RRY3161,Rhina_ancylostoma,24.523914,54.329021
ID42,abudhabi,RRY3162,Rhina_ancylostoma,24.523914,54.329021
ID43,sharjah,RRY3275,Rhina_ancylostoma,25.386258,55.384525
ID44,sharjah,RRY3901,Rhina_ancylostoma,25.386258,55.384525
ID45,sharjah,RRY4885,Rhina_ancylostoma,25.386258,55.384525
ID46,oman_salalah,RRY5872,Rhina_ancylostoma,16.987989,54.125606
ID47,oman_salalah,RRY5891,Rhina_ancylostoma,16.987989,54.125606
ID48,oman_shinas,RRY6037,Rhina_ancylostoma,24.745005,56.479414
ID49,sharjah,RRY6084,Rhina_ancylostoma,25.386258,55.384525
ID50,oman_salalah,RRY6149,Rhina_ancylostoma,16.987989,54.125606
ID51,abudhabi,RRY6275,Rhina_ancylostoma,24.523914,54.329021
ID52,sharjah,RRY6290,Rhina_ancylostoma,25.386258,55.384525
ID53,dubai,RRY6331,Rhina_ancylostoma,25.247189,55.230179
ID54,sharjah,RRY6348,Rhina_ancylostoma,25.386258,55.384525
ID55,sharjah,RRY6349,Rhina_ancylostoma,25.386258,55.384525
ID56,sharjah,RRY6350,Rhina_ancylostoma,25.386258,55.384525
ID57,sharjah,RRY6477,Rhina_ancylostoma,25.386258,55.384525
ID58,sharjah,RRY6478,Rhina_ancylostoma,25.386258,55.384525
ID59,rak,RRY6494,Rhina_ancylostoma,25.815084,55.941793
ID60,saudiarabia_alqunfudha,597A,Rhina_ancylostoma,19.124649,41.067495
ID61,saudiarabia_jizan,1442,Rhina_ancylostoma,16.880408,42.536956
ID62,srilanka,B237,Rhina_ancylostoma,7.181234,79.766262
ID63,srilanka,B242,Rhina_ancylostoma,7.181234,79.766262
ID64,srilanka,B564,Rhina_ancylostoma,7.181234,79.766262
ID65,srilanka,G1384,Rhina_ancylostoma,7.181234,79.766262
ID66,srilanka,R716,Rhina_ancylostoma,7.181234,79.766262
ID67,bangladesh,CB370_GF,Rhina_ancylostoma,21.807731,90.710827
ID68,bangladesh,CB390_GF,Rhina_ancylostoma,21.807731,90.710827
ID69,bangladesh,2174,Rhina_ancylostoma,21.807731,90.710827
IDXX,taiwan,GenBankID,Rhina_ancylostoma,24.674081,119.914431