id,pop,sample_id,location
ID01,Rhina_ancylostoma,RRY165,sharjah
ID02,Rhina_ancylostoma,RRY2040,abudhabi
ID03,Rhina_ancylostoma,RRY2548,abudhabi
ID04,Rhina_ancylostoma,RRY2980,sharjah
ID05,Rhina_ancylostoma,RRY3190,abudhabi
ID06,Rhina_ancylostoma,RRY3572,sharjah
ID07,Rhina_ancylostoma,RRY3789,sharjah
ID08,Rhina_ancylostoma,RRY3900,sharjah
ID09,Rhina_ancylostoma,RRY4026,sharjah
ID10,Rhina_ancylostoma,RRY4293,rak
ID11,Rhina_ancylostoma,RRY4884,sharjah
ID12,Rhina_ancylostoma,RRY5219,rak
ID13,Rhina_ancylostoma,RRY6193,sharjah
ID14,Rhina_ancylostoma,RRY6209,abudhabi
ID15,Rhina_ancylostoma,RRY6249,abudhabi
ID16,Rhina_ancylostoma,RRY6289,sharjah
ID17,Rhina_ancylostoma,RRY6308,sharjah
ID18,Rhina_ancylostoma,RRY6429,abudhabi
ID19,Rhina_ancylostoma,RRY6450,abudhabi
ID20,Rhina_ancylostoma,RRY6531,oman_salalah
ID21,Rhina_ancylostoma,3000,saudiarabia_alqunfudha
ID22,Rhina_ancylostoma,G173,srilanka
ID23,Rhina_ancylostoma,B210,srilanka
ID24,Rhina_ancylostoma,B330,srilanka
ID25,Rhina_ancylostoma,G725,srilanka
ID26,Rhina_ancylostoma,RRY223,oman_salalah
ID27,Rhina_ancylostoma,RRY6194,sharjah
ID28,Rhina_ancylostoma,404,saudiarabia_jeddah
ID29,Rhina_ancylostoma,G470,srilanka
ID30,Rhina_ancylostoma,Rhina01,bangladesh
ID31,Rhina_ancylostoma,Rhina02,bangladesh
ID32,Rhina_ancylostoma,Rhina03,bangladesh
ID33,Rhina_ancylostoma,RRY164,oman_salalah
ID34,Rhina_ancylostoma,RRY222,oman_salalah
ID35,Rhina_ancylostoma,RRY225,oman_salalah
ID36,Rhina_ancylostoma,RRY859,oman_sohar
ID37,Rhina_ancylostoma,RRY1831,oman_salalah
ID38,Rhina_ancylostoma,RRY2039,abudhabi
ID39,Rhina_ancylostoma,RRY2182,sharjah
ID40,Rhina_ancylostoma,RRY3160,abudhabi
ID41,Rhina_ancylostoma,RRY3161,abudhabi
ID42,Rhina_ancylostoma,RRY3162,abudhabi
ID43,Rhina_ancylostoma,RRY3275,sharjah
ID44,Rhina_ancylostoma,RRY3901,sharjah
ID45,Rhina_ancylostoma,RRY4885,sharjah
ID46,Rhina_ancylostoma,RRY5872,oman_salalah
ID47,Rhina_ancylostoma,RRY5891,oman_salalah
ID48,Rhina_ancylostoma,RRY6037,oman_shinas
ID49,Rhina_ancylostoma,RRY6084,sharjah
ID50,Rhina_ancylostoma,RRY6149,oman_salalah
ID51,Rhina_ancylostoma,RRY6275,abudhabi
ID52,Rhina_ancylostoma,RRY6290,sharjah
ID53,Rhina_ancylostoma,RRY6331,dubai
ID54,Rhina_ancylostoma,RRY6348,sharjah
ID55,Rhina_ancylostoma,RRY6349,sharjah
ID56,Rhina_ancylostoma,RRY6350,sharjah
ID57,Rhina_ancylostoma,RRY6477,sharjah
ID58,Rhina_ancylostoma,RRY6478,sharjah
ID59,Rhina_ancylostoma,RRY6494,rak
ID60,Rhina_ancylostoma,597A,saudiarabia_alqunfudha
ID61,Rhina_ancylostoma,1442,saudiarabia_jizan
ID62,Rhina_ancylostoma,B237,srilanka
ID63,Rhina_ancylostoma,B242,srilanka
ID64,Rhina_ancylostoma,B564,srilanka
ID65,Rhina_ancylostoma,G1384,srilanka
ID66,Rhina_ancylostoma,R716,srilanka
ID67,Rhina_ancylostoma,CB370_GF,bangladesh
ID68,Rhina_ancylostoma,CB390_GF,bangladesh
ID69,Rhina_ancylostoma,2174,bangladesh
ID70,Glaucostegus_granulatus,B324,sri_lanka
ID71,Glaucostegus_granulatus,G1034,sri_lanka
ID72,Rhynchobatus_palpebratus,116_441_RPA,australia
ID73,Rhynchobatus_palpebratus,207_298_RPA,australia
ID74,Rhynchobatus_palpebratus,356_667_RPA,australia
ID75,Rhynchobatus_palpebratus,345_386_RPA,australia
ID76,Rhynchobatus_palpebratus,356_675_RPA,australia
ID77,Rhynchobatus_australiae,B317,srilanka
ID78,Rhynchobatus_australiae,G417,srilanka
ID79,Rhynchobatus_australiae,349_065_RAU,australia
ID80,Rhynchobatus_australiae,345_383_RAU,australia
ID81,Rhynchobatus_australiae,356_669_RAU,australia
ID82,Rhinobatos_annandalei,B138,srilanka
ID83,Rhinobatos_annandalei,B997,srilanka
ID84,Rhinobatos_annandalei,B1000,srilanka
ID85,Rhinobatos_annandalei,57,bangladesh
ID86,Rhinobatos_annandalei,CB-387,bangladesh
ID87,Acroteriobatus_variegatus,G1419,srilanka
ID88,Acroteriobatus_variegatus,B753,srilanka
ID89,Acroteriobatus_variegatus,R280,srilanka
ID90,Acroteriobatus_variegatus,B108,srilanka
ID91,Acroteriobatus_variegatus,R548,srilanka
ID92,Rhina_ancylostoma,RRY223_DUP,oman_salalah
ID93,Rhina_ancylostoma,RRY6194_DUP,sharjah
ID94,Rhina_ancylostoma,404_DUP,saudiarabia_jeddah